udf_type_id,fk_id,proj_id,udf_date,udf_number,udf_text,udf_code_id
430,100227811,122698,,,1066,
430,100227812,122698,,,1066,
430,100227814,122698,,,1066,
430,100227815,122698,,,1066,
430,100227816,122698,,,1066,
430,100227817,122698,,,1066,
430,100227818,122698,,,1066,
430,100227819,122698,,,1066,
430,100227820,122698,,,1066,
430,100227821,122698,,,1066,
430,100227822,122698,,,1066,
430,100227823,122698,,,1066,
430,100227825,122698,,,1067,
430,100227826,122698,,,1066,
430,100227827,122698,,,1067,
430,100227828,122698,,,1066,
430,100227829,122698,,,1067,
430,100227830,122698,,,1066,
430,100227831,122698,,,1067,
430,100227832,122698,,,1066,
430,100227833,122698,,,1067,
430,100227834,122698,,,1066,
430,100227836,122698,,,1066,
430,100227838,122698,,,1066,
430,100227839,122698,,,1066,
430,100227840,122698,,,1066,
430,100227841,122698,,,1066,
430,100227842,122698,,,1066,
430,100227843,122698,,,1067,
430,100227844,122698,,,1066,
430,100227845,122698,,,1066,
430,100227846,122698,,,1067,
430,100227847,122698,,,1066,
430,100227848,122698,,,1066,
430,100227849,122698,,,1067,
430,100227850,122698,,,1066,
430,100227851,122698,,,1066,
430,100227852,122698,,,1067,
430,100227853,122698,,,1066,
430,100227854,122698,,,1066,
430,100227855,122698,,,1067,
430,100227856,122698,,,1066,
430,100227857,122698,,,1066,
430,100227873,122698,,,1066,
430,100227874,122698,,,1066,
430,100227875,122698,,,1066,
430,100227876,122698,,,1066,
430,100227877,122698,,,1066,
430,100227878,122698,,,1066,
430,100227879,122698,,,1066,
430,100227880,122698,,,1066,
430,100227881,122698,,,1066,
430,100227882,122698,,,1066,
430,100227883,122698,,,1066,
430,100227884,122698,,,1066,
430,100227885,122698,,,1066,
430,100227886,122698,,,1066,
430,100227887,122698,,,1066,
430,100227888,122698,,,1066,
430,100227889,122698,,,1066,
430,100227891,122698,,,1066,
430,100227892,122698,,,526,
430,100227893,122698,,,527,
430,100227894,122698,,,518,
430,100227895,122698,,,519,
430,100227896,122698,,,198,
430,100227915,122698,,,259,
430,100227916,122698,,,259,
430,100227917,122698,,,259,
430,100227918,122698,,,1063,
430,100227919,122698,,,1064,
430,100227920,122698,,,1066,
430,100227921,122698,,,259,
430,100227922,122698,,,259,
430,100227923,122698,,,1066,
430,100227926,122698,,,1063,
430,100227927,122698,,,1064,
430,100227928,122698,,,259,
430,100227929,122698,,,259,
430,100227930,122698,,,1063,
430,100227931,122698,,,1064,
430,100227932,122698,,,259,
430,100227933,122698,,,259,
430,100227935,122698,,,1066,
430,100227937,122698,,,1063,
430,100227940,122698,,,259,
430,100227952,122698,,,1064,
430,100227953,122698,,,1067,
430,100227955,122698,,,191,
430,100227956,122698,,,62,
430,100227957,122698,,,627,
430,100227958,122698,,,203,
430,100227959,122698,,,753,
430,100227960,122698,,,432,
430,100227961,122698,,,117,
430,100227962,122698,,,65,
430,100227963,122698,,,625,
430,100227964,122698,,,628,
430,100227965,122698,,,592,
430,100227966,122698,,,754,
430,100227967,122698,,,756,
430,100227968,122698,,,758,
430,100227969,122698,,,760,
430,100227970,122698,,,762,
430,100227971,122698,,,183,
430,100227972,122698,,,179,
430,100227973,122698,,,621,
430,100227974,122698,,,391,
430,100227975,122698,,,629,
430,100227976,122698,,,443,
430,100227977,122698,,,186,
430,100227978,122698,,,400,
430,100227979,122698,,,174,
430,100227980,122698,,,626,
430,100227981,122698,,,560,
430,100227982,122698,,,564,
430,100227983,122698,,,565,
430,100227984,122698,,,755,
430,100227985,122698,,,297,
430,100227986,122698,,,759,
430,100227987,122698,,,628,
430,100227988,122698,,,628,
430,100227989,122698,,,625,
430,100227990,122698,,,625,
430,100227991,122698,,,443,
430,100227992,122698,,,443,
430,100227993,122698,,,754,
430,100227994,122698,,,754,
430,100227995,122698,,,754,
430,100227996,122698,,,754,
430,100227997,122698,,,961,
430,100227998,122698,,,961,
430,100228012,122698,,,443,
430,100228013,122698,,,443,
430,100228014,122698,,,443,
430,100228015,122698,,,754,
430,100228016,122698,,,171,
430,100228017,122698,,,402,
430,100228018,122698,,,656,
430,100228019,122698,,,206,
430,100228020,122698,,,765,
430,100228021,122698,,,430,
430,100228022,122698,,,118,
430,100228023,122698,,,653,
430,100228024,122698,,,654,
430,100228025,122698,,,658,
430,100228026,122698,,,657,
430,100228027,122698,,,767,
430,100228028,122698,,,770,
430,100228029,122698,,,771,
430,100228030,122698,,,772,
430,100228031,122698,,,441,
430,100228032,122698,,,396,
430,100228033,122698,,,190,
430,100228034,122698,,,394,
430,100228035,122698,,,175,
430,100228036,122698,,,390,
430,100228037,122698,,,655,
430,100228038,122698,,,773,
430,100228039,122698,,,774,
430,100228040,122698,,,765,
430,100228041,122698,,,658,
430,100228042,122698,,,658,
430,100228043,122698,,,654,
430,100228044,122698,,,654,
430,100228045,122698,,,443,
430,100228046,122698,,,443,
430,100228047,122698,,,754,
430,100228048,122698,,,754,
430,100228049,122698,,,754,
430,100228050,122698,,,754,
430,100228051,122698,,,961,
430,100228052,122698,,,961,
430,100228059,122698,,,294,
430,100228060,122698,,,294,
430,100228061,122698,,,294,
430,100228062,122698,,,294,
430,100228063,122698,,,189,
430,100228064,122698,,,397,
430,100228065,122698,,,666,
430,100228066,122698,,,204,
430,100228067,122698,,,776,
430,100228068,122698,,,431,
430,100228069,122698,,,120,
430,100228070,122698,,,662,
430,100228071,122698,,,663,
430,100228072,122698,,,667,
430,100228073,122698,,,664,
430,100228074,122698,,,777,
430,100228075,122698,,,778,
430,100228076,122698,,,780,
430,100228077,122698,,,781,
430,100228078,122698,,,782,
430,100228079,122698,,,439,
430,100228080,122698,,,173,
430,100228081,122698,,,395,
430,100228082,122698,,,665,
430,100228083,122698,,,784,
430,100228084,122698,,,785,
430,100228085,122698,,,667,
430,100228086,122698,,,667,
430,100228087,122698,,,663,
430,100228088,122698,,,663,
430,100228089,122698,,,666,
430,100228090,122698,,,666,
430,100228091,122698,,,443,
430,100228092,122698,,,443,
430,100228093,122698,,,754,
430,100228094,122698,,,754,
